iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
1,140.42192677122276,2827.9990560854517,1,59.51919527542978,87423.4333651784,1,61.283348265091064,80999.68049597832
2,48.645903249737536,439.79954657735965,2,30.12364394062425,191.59242067396988,2,30.40164925430291,196.4229711785529
3,37.44819554220527,426.36965672890227,3,23.348562978544635,17.23223443232794,3,22.92290904483682,17.459554616197316
4,30.124038549577026,227.30697745631332,4,21.06382043032031,11.095643387427556,4,21.01166476676145,9.71749173113114
5,25.128427059935106,88.63474833222425,5,20.30745759076386,5.180645887433313,5,20.345767816639338,5.012641131411428
6,22.883586625348244,35.38779384962895,6,19.921930723827717,3.362962259237874,6,19.912851634827593,3.593546050818674
7,21.60557215960831,22.418246486978536,7,19.63391960619128,2.7308574598078375,7,19.60073617424956,2.8506396620246424
8,20.73959459956951,13.043679627820634,8,19.408035520057144,2.496629563566427,8,19.363315113453524,2.5454317184651107
9,20.304818175855832,7.484766608744622,9,19.142229785134823,2.486106244078282,9,19.137559683000262,2.5411131565641694
10,20.001627736615553,5.47593777921708,10,18.924194698588337,2.220855252046876,10,18.87156364937706,2.487447377786878
11,19.729337001427655,4.4942916823902435,11,18.71475684127123,2.193699357305191,11,18.65719018364875,2.1740933947776293
12,19.49662505250923,3.8463328824751675,12,18.512296400471183,2.1539392472730854,12,18.45098528025932,2.0985615256167467
13,19.238654715674606,3.4589136130311298,13,18.31796259326583,2.0968531505831014,13,18.29180961752906,2.051787745763666
14,19.01803327818105,2.9600786132579056,14,18.129979312003403,2.0192157323826914,14,18.109717646639503,2.214611349717191
15,18.84954050445679,2.797469100426807,15,17.985520732539328,1.9670940565098134,15,17.935644540410333,2.1366249656450007
16,18.634110444896788,2.8755848449387655,16,17.818761833095113,2.1043335180545335,16,17.768524891740046,2.0391728428218827
17,18.464852347260333,2.6369587488500423,17,17.659201544764603,2.0039182353103393,17,17.60825219427701,1.9162573320476157
18,18.30714062398297,2.683990585461381,18,17.50513637663991,1.877730574800944,18,17.45456091248236,1.771242254910488
19,18.162818686542945,2.7573594157207384,19,17.358215971588017,1.7269794654382176,19,17.335314536424576,1.639278107224564
20,17.969221146651776,2.7648488874288963,20,17.243703281948537,1.590703215993258,20,17.22722340661488,1.6875420152234981
21,17.81673201462743,2.437663327136422,21,17.140153992183205,1.626246385813181,21,17.099304321556524,1.707066665684873
22,17.66713334843837,2.341073332694884,22,17.016955933357238,1.6313805524009908,22,17.003882313093367,1.5569290552842237
23,17.517742614268276,2.198742865883951,23,16.924904657486785,1.472092171303674,23,16.890434176054768,1.5444282471732507
24,17.412129591383174,2.058214777665701,24,16.84020615765315,1.4719095573716294,24,16.80547968096036,1.3769848949272894
25,17.275369442644823,2.1041990408915874,25,16.738711316516795,1.440752538303046,25,16.727468863491506,1.3572831471915052
26,17.17881738198534,1.9274294978665674,26,16.663233154236845,1.2652038006183668,26,16.655447725381197,1.33350589046582
27,17.05218988832437,1.9169364364523158,27,16.593824687554623,1.2266309414303134,27,16.56894263370661,1.282623257560696
28,16.96023043469892,1.694008517978165,28,16.52938980204805,1.182809138371425,28,16.5053979553229,1.1067311487922964
29,16.874477215909007,1.6520002370619815,29,16.470091527319113,1.133641103981598,29,16.446908924495013,1.053038606063192
30,16.795788697712716,1.6025554927330279,30,16.41506234665611,1.0798761049774128,30,16.39289695740167,0.9958641603675921
31,16.72312709907778,1.5486130969729135,31,16.36448991924773,1.0219497548778012,31,16.343396305747692,0.9357830444457413
32,16.63077962620753,1.4608826666207742,32,16.317734403820896,0.9610507014586426,32,16.29793552299425,0.8742900460477545
33,16.56499423018533,1.226423709230058,33,16.274973783224258,0.8980004499164117,33,16.25655137877532,0.8120549883021921
34,16.50526576125679,1.1350681842683596,34,16.235746176935262,0.8342063579200084,34,16.22783291792484,0.7569671561104201
35,16.450977030098223,1.0460863243631184,35,16.20016133296517,0.7705926495499057,35,16.19318158139224,0.7720064973199907
36,16.40237725935478,0.9612829885014847,36,16.16785569001537,0.7084336623257401,36,16.16171446963726,0.7106124131396501
37,16.358763363773594,0.882747086114466,37,16.145792787712104,0.6529285263090189,37,16.140505663568,0.65579646733465
38,16.33068665536461,0.8181583116902396,38,16.11892997067999,0.6588795492121938,38,16.114288464992754,0.6629066905856259
39,16.29730995519786,0.8373306322302132,39,16.101100697411045,0.6044955421818371,39,16.09081986244478,0.6052078809550376
40,16.268295078851196,0.7816959374500906,40,16.078823212779245,0.6078873006224519,40,16.075061474449953,0.553837422243841
41,16.24301416711238,0.7339076441167587,41,16.058997164847938,0.5523225767272127,41,16.05568860644447,0.5553826157509251
42,16.22132874840572,0.6934070509989183,42,16.045768658007752,0.5028646432912519,42,16.042955727448604,0.5062813854919614
43,16.202771783624762,0.6599869001443804,43,16.02951033177512,0.502004244615502,43,16.027032814987837,0.5062236907061936
44,16.180653745447717,0.62977872384413,44,16.018826554414613,0.45551945681313233,44,16.012927363710467,0.458104839033456
45,16.166417972215847,0.5498301478966039,45,16.005559436827937,0.4535394492885572,45,16.003602892820133,0.4151882407087406
46,16.149724871005077,0.5305889905841201,46,15.996942182129828,0.41036076943453026,46,15.992139503349938,0.4128380885013077
47,16.13870889865053,0.4692493351866136,47,15.986171549191198,0.40764520127461085,47,15.984633490553597,0.37323453487074354
48,16.125912086679882,0.4574719965322886,48,15.979233067107385,0.36795532673526293,48,15.97536201956184,0.37040581595863625
49,16.117367791830436,0.40917216546685814,49,15.97053270225477,0.3648163758238178,49,15.969329895872805,0.33420288030694006
50,16.10745861789288,0.402530593639123,50,15.964956694900167,0.3286583145284558,50,15.961863782070886,0.3311334292069725
51,16.100863224790725,0.36352045695573587,51,15.95796087311742,0.32533425114713926,51,15.957024515590094,0.2982882814765691
52,16.093156731988113,0.36054360165301064,52,15.953488471432628,0.2926386741548522,52,15.951035559441264,0.2951541591614208
53,16.088129049074652,0.3283215154985829,53,15.947885927323268,0.2893007842949736,53,15.947159681797183,0.2655410965908744
54,16.082141877063307,0.32809910428548916,54,15.944305164487423,0.2599161291412865,54,15.942371673101254,0.26246490032821906
55,16.076773519026673,0.3005919905626107,55,15.939833726867608,0.2566801147659532,55,15.939272003331766,0.23590131379326904
56,16.07195620536816,0.2762941502575438,56,15.936971359557777,0.23040063114968476,56,15.935454745095766,0.23296295065488712
57,16.068731285593106,0.25490869749772477,57,15.933412626829364,0.22733900541213778,57,15.932978970407897,0.20923182249806024
58,16.064966163791688,0.25719508755559134,58,15.931127525519525,0.20392817863750334,58,15.930767009409292,0.20666484037651336
59,16.061568743533847,0.23820719902934198,59,15.928301458167239,0.20108161825270557,59,15.927972601063825,0.20402895723529452
60,16.058504539575758,0.2211062803600424,60,15.926479104190975,0.18029018413417378,60,15.926207641020666,0.18305347704847286
61,16.056473317832175,0.20574397394337932,61,15.924238669027863,0.17767694702802486,61,15.9239888164087,0.18062042815760818
62,16.054086787325076,0.20907587068569722,62,15.922786504258683,0.15925580812312953,62,15.922581636390056,0.1619905788523277
63,16.05192786039462,0.19506352156214674,63,15.921491044099604,0.1569612155924759,63,15.920822289258524,0.1597666083184202
64,16.049976745553344,0.1822717514757875,64,15.919857641619867,0.1546848146814026,64,15.919701061670207,0.14325204343564701
65,16.048209265076814,0.17054804301605525,65,15.918825704692422,0.1385420013130571,65,15.918307468896638,0.14123501453515377
66,16.046609736733377,0.15976658773390215,66,15.917534234457213,0.1364866426178834,66,15.917414475744406,0.1266173458538192
67,16.045159653596507,0.14982129877591946,67,15.916712573665402,0.12223248223694386,67,15.916311393242973,0.12479863638481413
68,16.044193263044534,0.1406605319569606,68,15.91569207061458,0.12038633978337371,68,15.915600375942802,0.11187467141137866
69,16.043068013371283,0.14391494867534146,69,15.91503801208601,0.10781257592708177,69,15.914965903271211,0.11027089375492218
70,16.04204907250329,0.13527911301454135,70,15.914231913976508,0.1061606603179026,70,15.914161982022629,0.10870983009459637
71,16.041124931016512,0.1272597726441931,71,15.913711341351355,0.09507747767676833,71,15.913656805212423,0.09739836572925742
